               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.014809,           0.0056204,                   0,             0.99999,                   1,               0.995,             0.81281,            0.014536,           0.0058723,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.014596,            0.004886,                   0,                   1,                   1,               0.995,             0.81734,            0.014468,           0.0059418,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.014393,           0.0052193,                   0,             0.99999,                   1,               0.995,             0.81123,            0.014822,            0.005973,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.014337,           0.0051983,                   0,                   1,                   1,               0.995,             0.79105,            0.015203,           0.0060422,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.014241,           0.0052398,                   0,                   1,                   1,               0.995,             0.81242,            0.014892,           0.0059083,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.014507,           0.0052997,                   0,             0.99999,                   1,               0.995,             0.81383,            0.014632,           0.0058859,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.014292,           0.0051231,                   0,             0.99999,                   1,               0.995,             0.81695,            0.014795,           0.0058773,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.014457,           0.0052449,                   0,             0.99999,                   1,               0.995,               0.819,            0.014542,           0.0058131,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.014639,           0.0053721,                   0,                   1,                   1,               0.995,             0.82037,            0.014396,           0.0058304,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.014267,           0.0051439,                   0,             0.99999,                   1,               0.995,             0.81019,             0.01436,           0.0058047,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,             0.01418,           0.0053271,                   0,                   1,                   1,               0.995,             0.81323,            0.014478,           0.0057998,                   0,             0.00102,             0.00102,             0.00102
                  99,             0.01404,           0.0052713,                   0,             0.99999,                   1,               0.995,             0.81346,            0.014409,           0.0057757,                   0,           0.0010089,           0.0010089,           0.0010089
